,TOT_POP,PCT_U18,PC_18_65,PCT_O65,MALE_FEM
566,13634.0,3503.938,9093.878,1036.184,95.2
567,1193.0,232.635,688.361,272.004,90.9
568,1042.0,140.67,531.42,369.91,87.3
569,1531.0,365.909,865.015,300.076,76.2
570,2864.0,747.504,1612.432,504.064,84.3
571,2847.0,387.192,1967.277,495.378,95.2
572,22936.0,7729.432,13692.792,1513.776,95.4
573,1485.0,396.495,893.97,194.535,93.8
574,4720.0,1274.4,2577.12,868.48,82.1
575,2927.0,772.728,1656.682,497.59,80.7
576,2724.0,629.244,1563.576,531.18,81.0
577,3830.0,662.59,2267.36,900.05,85.2
578,3035.0,758.75,1978.82,294.395,96.3
579,25638.0,5691.636,17228.736,2717.628,92.2
580,1904.0,571.2,1073.856,258.944,82.7
581,1190.0,301.07,736.61,152.32,94.5
582,6717.0,1356.834,3949.596,1410.57,80.7
583,9102.0,2557.662,5716.056,828.282,92.7
584,3980.0,696.5,2352.18,931.32,83.2
585,1302.0,256.494,828.072,217.434,99.4
586,1025.0,229.6,612.95,182.45,87.1
587,2115.0,607.005,1258.425,249.57,104.3
588,1478.0,357.676,972.524,147.8,98.8
589,3506.0,792.356,2065.034,648.61,83.8
590,3014.0,717.332,1835.526,461.142,91.9
591,5423.0,336.226,4902.392,184.382,79.0
592,9624.0,1924.8,6284.472,1414.728,89.8
593,7112.0,1941.576,4437.888,732.536,86.2
594,3352.0,620.12,2369.864,362.016,85.4
595,5192.0,877.448,2777.72,1536.832,87.9
596,7753.0,1806.449,4519.999,1426.552,83.1
597,5328.0,1108.224,3138.192,1081.584,88.1
598,4660.0,1169.66,3024.34,466.0,97.4
599,3606.0,919.53,2264.568,421.902,87.4
600,4355.0,931.97,2769.78,648.895,95.3
601,21802.0,6344.382,13517.24,1940.378,86.9
602,4310.0,1099.05,2409.29,801.66,82.3
603,1211.0,329.392,653.94,227.668,83.8
604,1028.0,298.12,602.408,128.5,92.1
605,1092.0,324.324,638.82,128.856,96.4
606,2002.0,472.472,1241.24,288.288,84.7
607,1531.0,413.37,910.945,206.685,86.6
608,13726.0,3376.596,8853.27,1496.134,92.6
609,1369.0,328.56,799.496,240.944,87.1
610,11055.0,2188.89,7451.07,1415.04,86.6
611,1119.0,317.796,663.567,136.518,99.3
612,18967.0,4381.377,12214.748,2370.875,90.8
613,6867.0,1517.607,4703.895,645.498,95.6
614,10739.0,1814.891,7323.998,1600.111,76.8
615,10275.0,2846.175,6884.25,544.575,98.0
616,5204.0,1405.08,3523.108,275.812,97.6
617,2612.0,509.34,1637.724,464.936,86.8
618,7025.0,1826.5,4355.5,843.0,90.3
619,2770.0,747.9,1592.75,429.35,89.9
620,1688.0,467.576,1027.992,192.432,94.4
621,1035.0,251.505,665.505,116.955,98.7
622,17284.0,4130.876,10646.944,2506.18,89.5
623,2721.0,729.228,1741.44,250.332,97.9
624,1060.0,250.16,643.42,167.48,90.1
625,54269.0,11559.297,35112.043,7597.66,95.6
626,1611.0,468.801,927.936,214.263,81.6
627,6302.0,1336.024,4083.696,882.28,84.6
628,4087.0,1058.533,2345.938,682.529,82.9
629,1265.0,335.225,685.63,244.145,82.4
630,1142.0,300.346,669.212,172.442,88.4
631,4419.0,905.895,2898.864,618.66,88.5
632,1453.0,342.908,942.997,167.095,91.4
633,2084.0,529.336,1277.492,275.088,89.3
634,3014.0,602.8,1931.974,479.226,84.3
635,1487.0,328.627,798.519,361.341,79.1
636,9007.0,2053.596,5800.508,1152.896,85.9
637,33946.0,7162.606,20978.628,5804.766,87.2
638,1274.0,323.596,796.25,155.428,87.6
639,2308.0,627.776,1490.968,189.256,92.9
640,4198.0,860.59,2997.372,340.038,91.8
641,1669.0,435.609,1048.132,185.259,93.4
642,4504.0,1508.84,2504.224,495.44,89.7
643,3225.0,877.2,2038.2,309.6,91.4
644,5317.0,1467.492,3222.102,627.406,97.0
645,5836.0,1669.096,3460.748,700.32,86.9
646,2125.0,588.625,1302.625,233.75,91.5
647,3326.0,891.368,1845.93,588.702,81.0
648,18567.0,4233.276,12142.818,2190.906,94.0
649,4605.0,1040.73,2864.31,704.565,90.0
650,3204.0,801.0,1896.768,506.232,85.8
651,3830.0,965.16,2045.22,819.62,75.7
652,5984.0,1597.728,3548.512,837.76,81.6
653,1159.0,259.616,717.421,181.963,87.3
654,4906.0,1545.39,3002.472,358.138,93.2
655,2370.0,575.91,1384.08,410.01,86.0
656,5116.0,1294.348,2946.816,874.836,86.5
657,1893.0,412.674,1192.59,287.736,95.0
658,29429.0,7886.972,17157.107,4384.921,82.0
659,1664.0,457.6,893.568,312.832,69.9
660,11061.0,2510.847,6658.722,1891.431,77.5
661,2207.0,489.954,1271.232,445.814,81.7
662,4787.0,1172.815,2666.359,947.826,78.9
663,1976.0,561.184,1126.32,288.496,90.7
664,5464.0,1398.784,3404.072,661.144,80.8
665,1996.0,520.956,1175.644,301.396,89.5
666,5241.0,1263.081,2950.683,1027.236,85.6
667,4305.0,1149.435,2875.74,279.825,93.3
668,42410.0,9923.94,27820.96,4665.1,89.8
669,4907.0,1045.191,3272.969,593.747,93.4
670,2166.0,630.306,1228.122,305.406,88.6
671,5218.0,1267.974,2802.066,1147.96,80.8
672,1825.0,374.125,1058.5,392.375,87.5
673,3451.0,911.064,1880.795,655.69,79.4
674,5964.0,1604.316,3655.932,703.752,89.7
675,2129.0,523.734,1354.044,251.222,89.9
676,1571.0,254.502,980.304,337.765,91.7
677,9183.0,2240.652,5812.839,1129.509,85.6
678,17689.0,4033.092,10878.735,2777.173,90.4
679,5849.0,1356.968,3854.491,637.541,95.3
680,2252.0,511.204,1459.296,281.5,91.4
681,28419.0,6934.236,18586.026,2898.738,92.5
682,6750.0,1269.0,4441.5,1039.5,88.7
683,3437.0,848.939,2292.479,292.145,95.4
684,1750.0,432.25,1064.0,253.75,92.0
685,8024.0,1468.392,6539.56,16.048,332.9
686,2251.0,603.268,1442.891,204.841,94.5
687,4680.0,1226.16,2925.0,528.84,91.0
688,47866.0,10530.52,30203.446,7132.034,90.2
689,5952.0,1255.872,2981.952,1714.176,79.6
690,5027.0,1382.425,3322.847,321.728,91.1
691,3071.0,829.17,1722.831,518.999,88.2
692,4195.0,977.435,2462.465,755.1,80.4
693,1054.0,326.74,586.024,141.236,88.3
694,5583.0,1004.94,3020.403,1557.657,68.8
695,7516.0,1638.488,4697.5,1180.012,89.0
696,1307.0,312.373,773.744,219.576,89.3
697,1051.0,319.504,603.274,128.222,85.1
698,1544.0,418.424,881.624,243.952,82.3
699,8008.0,1737.736,4780.776,1489.488,77.3
700,15578.0,3505.05,9751.828,2321.122,91.0
701,1190.0,322.49,704.48,161.84,82.9
702,1870.0,364.65,1196.8,308.55,80.5
703,1048.0,309.16,627.752,111.088,85.7
704,8950.0,3159.35,5244.7,545.95,79.5
705,3329.0,729.051,1977.426,622.523,88.9
706,4637.0,978.407,3129.975,528.618,131.4
707,1340.0,344.38,833.48,160.8,87.7
708,7690.0,1960.95,4975.43,753.62,93.8
709,2972.0,638.98,1697.012,636.008,85.3
710,2075.0,543.65,1222.175,309.175,88.9
711,1177.0,310.728,781.528,83.567,92.9
